緯度	     精度	       名稱
22.75976	121.13951	 上味食堂-台東美食|台東人氣餐廳|台東小吃|台東銅板美食|台東滷肉飯節嚴選商家|台東滷肉飯|IG打卡餐廳
22.64758	120.30263	 食旅 漫味咖啡 餐酒
23.88120	120.52290	 阿洲伯鹹豬肉
22.98900	120.21015	 幸福鍋貼 府前店
24.79710	121.76369	 仙鼎茶商行
23.97537	121.58426	 杰迪烘焙坊
25.04367	121.53981	 喫上飲
25.05806	121.56229	 | 虎笑麵屋 | 牛肉湯/老虎麵專賣
22.57010	120.35888	 吉品香小火鍋
22.99205	120.20087	 幸福鍋貼 永福店
23.99473	121.60626	 紅茶洋行（國聯店）
23.97634	121.61007	 冬瓜幫 花蓮公園店
24.16964	120.68307	 宏冠排骨麵
24.95508	121.24134	 BONCHu 創意鮮果茶飲
24.80117	120.96341	 飛翔的魚flyingfish_brunch-美式料理餐廳 早午餐 漢堡 三明治 墨西哥烤餅 義大利麵 燉飯 人氣甜點 特色飲品推薦 異國料理
25.05305	121.54731	Schumann's Bistro No. 6 舒曼六號餐館 南京店
25.05674	121.62717	 坤伯傳家餃
24.17448	120.64847	 久違石頭火鍋-(推薦人氣必吃) 海鮮 個人鍋物 宵夜聚餐
24.17490	120.64910	 日光造咖 咖哩製造所 逢甲河南店
24.08975	120.54134	 C.Chill Days(混日子)運動飛鏢吧
24.78126	121.02089	 五億雞排-新竹白飯魚店
25.02721	121.47202	 誠壽司
24.74675	121.75725	 蘭波 Lan Po
24.91798	121.18428	 歐膩ohni麻糬
25.07974	121.57866	小弟在內湖737美食街 賣炒飯炒泡麵<br>Fb可以搜尋熊貓廚房<br>也有uber外送。
24.24068	120.72393	 張張手作 Chang Chang Homemade「手工包子饅頭」
24.91271	121.15928	 邑品涼麵
22.68577	120.31105	Paul Huang<br>如果從高鐵高雄站出發或是來到高雄<br>我們路易莎咖啡華夏店歡迎您<br>Louisa Coffee 路易．莎咖啡(高雄華夏門市)<br>07 348 4613<br>https://goo.gl/maps/ME42G9o2NvkpHSKH7<br>高雄大叔<br>也可以來路易莎咖啡華夏店坐坐喔
24.48874	120.68261	 漢寶哥（上客）炸雞
25.04554	121.45026	 澎湃早午餐
24.16628	120.69438	 超級大盛鐵板燒丼飯專賣店
22.73209	120.34724	 烏弄Unocha-大社中山店
22.63160	120.30280	 香祺上海烤饅頭
24.97987	121.45258	 金城檸檬冰
23.75925	120.61641	 連大牛排小火鍋
25.10938	121.24975	 艾利波波竹圍店
24.92808	121.37578	超推薦，我一星期至少喝10杯
25.06788	121.58539	 杏糖屋
22.61491	120.30522	 涼心涼麵 cool your heart❤️
22.48996	120.38640	 阿香澎湖碳烤
24.96110	121.42091	 頂富現做赤肉羹
24.13517	120.65038	 榛鮮沙拉 so fresh salad
25.15911	121.42421	<img src="https://doc-08-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/fgqq4pqi108ka52m2kjppik3m0/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vbgT4CMsxxJPjq4TJIrKz9UzQATpkXPKOq0sm8xs9OuTUKMi2TUE-ddHY6RlDYpDzM-GNgwSPCxHvUriArEiUj8lBVT6q_Adzr82G1Ij7IMPRBs_CrhVgXN33KbXpRmGgR-NrozdZguk6y1oS-W3GiEyOuPwQ3AKfcFFtRI2f8T9ZSzx1YBCtIMEj9w8M8XlYM?session=0&fife" height="200" width="auto" /><br><br>
23.00625	120.18350	 南法小步舞曲
25.05091	121.54423	 郭厚宇<br><br>感謝 梁大給機會<br>小弟剛升任這邊店長 希望大家給機會捧場
25.03978	121.55221	Allen Chen<br>AQUA Lounge<br>喝喝小酒！抽抽水煙！<br>談談心！<br>忠孝東路四段216巷32弄14號
24.15105	120.65459	 KoDō和牛燒肉
25.03683	121.55000	 大叔們來直接打九折
24.12146	120.65011	鐘小刀<br>賈董的麵<br>台中中山醫學院美食街<br>4/12開幕
25.00583	121.47512	 TEATOP第一味 中和環球店
24.99897	121.46283	 呷品香滷味
24.18007	120.68381	 景興古早味
22.66572	120.30884	 大宅門乾鍋鴨頭
22.60580	120.33425	 御私藏鮮奶茶專賣店-瑞隆店
24.67346	121.75933	 喫堡早午餐<br>大家如果有來宜蘭，歡迎來坐坐<br>https://g.co/kgs/JzCPpX
22.99682	120.20625	 一也黃金豆乳雞台南公園店
24.98463	121.31844	 老賴茶棧桃園桃鶯店
25.02184	121.42266	 老賴茶棧新莊四維店
23.97455	120.68040	店名：SUNDaWN COFFEE ROASTER <br>地址：南投縣草屯鎮草溪路906號<br>電話：049-2313460<br>營業時間：09:00-17:00 週一公休<br><br>自家烘焙咖啡廳<br>全店使用單品豆作為出發<br>可客選濾杯做沖煮
25.05582	121.60616	Hungry Dogs 二犬廚房<br>0937 037 702
24.69351	120.86726	 波妞芋圓
24.80526	121.75631	 Jocha吼呷-熟成廚房
22.00906	120.74051	 Summer Box 夏天的盒子
25.02294	121.46119	 心心漢堡 丨 xinxinBurger｜手作和牛漢堡吃到飽
25.04377	121.45216	 韓哥哥銅盤烤肉 x 起司牛奶鍋 ｜ 新北人氣火烤兩吃 ｜ 新莊平價吃到飽
25.08201	121.46988	 有煎餃子館(蘆洲正和店)
25.04353	121.50315	 心心麻辣鍋-西門店 ｜ 台北和牛吃到飽 ｜ 特色七龍珠火鍋 ｜ 西門町人氣美食
22.75282	121.15090	 吳家媽媽地瓜酥/安慶門市
25.08717	121.48223	 好石跡精緻石頭火鍋(蘆洲集賢店)
24.91260	121.15872	 沛本丸-手作飯丸
22.63210	120.30840	 樂咖 Lego Brick Cafe
25.11352	121.52255	<img src="https://doc-08-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/ksmgbsokrlfgbqopku6912ddak/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vYbisqRspIw3FVL-pgKp2UK2_c51z0flSRkwAgEnEdQKD1YjmddANnsnwsl3GMAu6uihPt0lpnQoy4QRcIybLxYCqHbUAlup5L5xl73EWj035jpMEhio5HEg9UkMR0JPGUhnciqVWczyuXjNqZDQlde9EKwRN7ME2mOGgaVaXwmfqAkZlDvHMeGQ_9Hzr0Br_0?session=0&fife" height="200" width="auto" /><br><br>
25.04746	121.29502	 鋒憶麵坊
24.11235	120.49809	 這是車輪餅（和美店）
22.79486	120.29263	 木子樑室 岡山店
24.14962	120.65527	<img src="https://doc-0o-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/q2jncmev9hasm3gft6aia5um2s/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vaH99cgVgItTfGswNSRz3gL6Kr2CxdYR00gmjddBrqXl3KXrEe49EM5s-Jy2E9aYArnKaqVPSNzBrNnu5qf0tIt3QdFeRDZzPyTlK2hXc43_lp7OXzhY5DxTkjfi6k7ikkPV8LdmQK_EmbLNacpAd3YW5h307jwgaiVdWiqE8bFG9Cf1KyZ1smnWrQzx1vrfkc?session=0&fife" height="200" width="auto" /><br><br><br><br><img src="https://doc-0g-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/eegkjku5b9m98ouh2apk1gfu2k/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vaitqkDZfQqfNCZ-ZwG9UTzgU3rBoxef6Zp3wX8SZQyOEZRWBLeozI7HUOTsQs4vieOdvDsDsFq11us3WGobsdcuqxNnyqBFmEMLs_7YBEGgcDq_3pZWSSbGhmMuLxD6dLCuqc1sHWvvm2bailZkaj1R7eBDvVeHJoUoIeTaavAW7pS2Csu17WyVARGrYIe8vE?session=0&fife" height="200" width="auto" /><br><br><img src="https://doc-0g-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/dmac6cj9a63t5a7a1f620v8jo4/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vYgzpYSAmGG-DSALGEsnINSYupAGlveEbJ-XFuxa9lX1Akoo-mB2-0zqf53OKR-q3vZnHwZf0FrQrTZFieMJnyclcHYa0P4LI3OghnAaWGqcJqWxsGwQYfZ8e2VTKgdu8yYqV-7BLUb4s91HenpkaTVZW6BEuEAVLSZhn61nJsU-UmYZCzdf0lGhSMIaFck1mg?session=0&fife" height="200" width="auto" />
24.96341	121.22292	 大師姐足體養生館
25.12929	121.74784	 就水 Jo Shui
25.08307	121.56116	 足工場精緻足體養生會館
24.16435	120.68487	<img src="https://doc-0c-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/j2imqn4i9if3khbi7o5mjjns14/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vbmAVI37miITCCDAjiE3rPJI4LpO2y3C7TIa25J8dGiF7sXcFta8atWxWvC6aKVy3GKvwuN1mXWc1fNu2qCnAJ20StSts7MUzfZzW9ahSHW9cdy_iAMVvLLBT4MNgBni9MURc1p_U_-DKAhpHD76VKkxtHvuBVpixJuf0h7wVJrbcgjNz1EJijof_iEu80ZLjA?session=0&fife" height="200" width="auto" /><br><br>同為大叔的我們<br>如果走過路過經過看到這塊招牌<br>不管有沒有進來整理頭髮<br>都歡迎跟我打聲招呼<br>因為我們都是為了生活<br>然後在各自領域努力打拼的大叔<br>🤜🤛<br>#大叔唯一的抒發管道<br>#台中北區大叔
22.98322	120.24647	 部長電池-台南東區
25.06980	121.35662	 語璽新能源科技有限公司
22.99644	120.27682	 繼達汽車材料
24.13846	120.64038	 阿寶機車行 道路救援 機車維修 AMA行車紀錄器
24.17009	120.64744	 阿寶機車行 西屯店 道路救援 機車維修 AMA行車紀錄器
24.13652	120.66154	 阿寶機車行 一乙久店
25.06255	121.59461	 PIT崴特國際 Alfa Romeo Fiat Abarth
24.98751	121.31107	 桃園市『聖帕斯強化考爾』總公司倉庫，歡迎來了解，抬槓，有了考爾可以快速去不同的地方吃大叔們的餐廳😊
24.98727	121.31133	 『聖帕斯強化考爾』總公司倉庫
24.97394	121.32299	 中美車坊
25.05254	121.37157	 車際聯盟汽車鍍膜 林口施工店
23.95493	120.67498	 洗刷刷自助洗車場-草屯店
24.97554	121.30930	 HOT大聯盟 廷豐車業
24.94378	121.37878	 北大藥局
24.04970	120.43867	 展榮商號鹿港店／堅果／五穀粉／糙米麩／麵茶／五穀雜糧／寶寶米果／米香／黑豆茶／養生／米麩／推薦／彰化
24.11131	120.62599	 展榮商號／堅果／五穀粉／糙米麩／麵茶／五穀雜糧／寶寶米果／米香／黑豆茶／養生／伴手禮／禮盒/米麩／推薦／台中烏日
25.06839	121.62277	自產自榨自銷一條龍小農第一道冷壓初榨橄欖油，真的可以喝的橄欖原汁<br>台灣可以百貨公司網路購買，主要是做外銷 <br>https://taiwan.auganic.co/<br>台北公司 ; 新北市汐止區康寧街 169巷 25號 2F-3<br>澳洲地址 : P.O BOX 112 GINGIN 6503 WESTERN AUSTRALIA
22.72605	120.29920	 柒目刺青屋 Seven Eyes Tattoo House
22.87446	120.19029	 丸群水產行
25.07207	121.49389	 森涵淨水有限公司-新北居家飲用水|三重淨水設備推薦|全屋淨水器|Ro飲用水|生飲設備施作|商用生飲設備
25.00077	121.48537	 【芽米寶貝】寶寶副食品-總公司
24.94952	121.34954	<img src="https://doc-0o-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/87ur73va5gpbl6aafe1e4r2n00/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vYop6PDRO7zkoX2ULkiPCM6JgLmG8N2A78jhx-BOCa361UI7QZzgXOTu-3nTmc0ieCeKKH7RzGZnI_sEOOWAOjQXN6rFzoEwI3Ri31hnhB-Xjgisbgw_zKdi7RfXEvGBDTce7XR9YqQWrpjRjSKFhBCtlPAYylUZ1Bc2eAEYl9gcJ7NoCeTJp3J2rFe8ise3TpQ?session=0&fife" height="200" width="auto" /><br><br>客制批發<br><br>https://sites.google.com/site/ylsceramicstaiwan/
22.75424	121.15042	40 INN 背包倉庫肆零居 Backpackers Warehouse ( 台東國際背包客棧)
21.93339	120.82411	 墾丁船帆石風尚會館
24.42540	120.86358	 盛湖草莓園
25.18093	121.68994	 白宮行舘沙灘溫泉
25.13386	121.74565	 黑炭燒烤本鋪
